epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,2133.2,0.91172,3.03664,0.23236,0.74022,1.3165,0.94928,0.94229,0.96945,0.77304,0.91305,0.89781,0.90527,0.47292,0.83786,2.27373,0.04194,0.50977,1.46755,0.000954816,0.000954816,0.000954816
73,2162.6,0.91581,2.94921,0.23832,0.72685,1.31349,0.93278,0.90782,0.95614,0.76362,0.91332,0.88802,0.90241,0.48148,0.79551,2.27995,0.04868,0.58111,1.42744,0.000952616,0.000952616,0.000952616
74,2192.88,0.89929,2.98922,0.2361,0.71895,1.31175,0.92882,0.96157,0.97256,0.77888,0.9022,0.93467,0.94322,0.50728,0.81628,2.05473,0.03856,0.50971,1.45875,0.000950416,0.000950416,0.000950416
75,2223.64,0.87666,3.00091,0.24113,0.69683,1.28781,0.94445,0.95157,0.96064,0.75538,0.93196,0.93787,0.92495,0.49063,0.80752,2.1095,0.04465,0.53345,1.47012,0.000948216,0.000948216,0.000948216
76,2253.38,0.90699,2.96967,0.23549,0.71475,1.31057,0.95905,0.9555,0.96492,0.77846,0.91675,0.91494,0.917,0.49173,0.80647,2.08389,0.05656,0.50694,1.45539,0.000946016,0.000946016,0.000946016
77,2282.95,0.87287,2.90758,0.23136,0.69674,1.29754,0.95585,0.93953,0.971,0.76308,0.93503,0.91929,0.94727,0.50144,0.85299,2.11147,0.04574,0.49954,1.45899,0.000943817,0.000943817,0.000943817
78,2312.24,0.89424,2.99356,0.23265,0.69731,1.31547,0.93726,0.95261,0.9618,0.77667,0.91012,0.92572,0.91485,0.49803,0.80141,2.21932,0.03202,0.53676,1.46313,0.000941617,0.000941617,0.000941617
79,2341.18,0.87056,2.94686,0.23338,0.69304,1.27719,0.95451,0.94333,0.95804,0.77394,0.92407,0.90656,0.90126,0.49847,0.77232,2.06353,0.04291,0.51955,1.39978,0.000939417,0.000939417,0.000939417
80,2370.7,0.87129,2.89642,0.22713,0.67382,1.27747,0.93263,0.93727,0.95634,0.75621,0.89971,0.88425,0.89536,0.50171,0.85494,2.13518,0.03471,0.56362,1.48978,0.000937217,0.000937217,0.000937217
81,2399.85,0.8877,2.9245,0.22908,0.67706,1.29103,0.93807,0.94672,0.95893,0.76353,0.94997,0.91105,0.9231,0.49516,0.82618,2.01287,0.04614,0.5402,1.45548,0.000935018,0.000935018,0.000935018
82,2429.32,0.87965,2.90284,0.23407,0.66615,1.28699,0.94715,0.946,0.96586,0.78158,0.93247,0.93238,0.92861,0.51136,0.78511,2.04265,0.06434,0.51437,1.43562,0.000932818,0.000932818,0.000932818
83,2458.88,0.86581,2.87511,0.2301,0.66852,1.28112,0.97505,0.95159,0.97236,0.78174,0.95311,0.93113,0.94326,0.52408,0.79282,1.92605,0.05734,0.50584,1.42077,0.000930618,0.000930618,0.000930618
